category,source,link,question_helped,specific_signal_to_extract,reliability,likely_bias_or_limitation,public_proxy_if_paid
Primary company,NVIDIA investor relations quarterly results,https://investor.nvidia.com/financial-info/quarterly-results/,"How fast is accelerator/data center demand scaling?","Data center revenue, platform ramp language, supply constraint comments",High,"Company framing; revenue is not equal to unit demand or HBM demand","Quarterly revenue trend PDF and earnings call transcript"
Primary company,NVIDIA FY2026 Q4 results,https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Announces-Financial-Results-for-Fourth-Quarter-and-Fiscal-2026/,"How large is AI accelerator demand?","Data center revenue and management commentary",High,"Does not disclose exact HBM allocation, GPU units, or customer mix","Use data center revenue trend and product launch cadence"
Primary company,AMD Q1 2026 results,https://www.amd.com/en/newsroom/press-releases/2026-5-5-amd-reports-first-quarter-2026-financial-results.html,"Is demand broadening beyond NVIDIA?","Data center revenue, Instinct GPU ramp, HBM supplier references",High,"AMD share and unit data limited; forward-looking language","Track Instinct platform announcements and customer deployments"
Primary company,AMD Instinct MI300 specs,https://www.amd.com/en/products/accelerators/instinct/mi300.html,"Why does HBM matter technically?","HBM capacity and memory bandwidth in accelerator specs",High,"Vendor benchmark framing; product-specific","Compare with NVIDIA datasheets"
Primary company,Micron investor relations,https://investors.micron.com/,"How is a major memory vendor framing HBM?","HBM revenue comments, product qualification, capex, supply agreement language",High,"Company incentives to emphasize AI memory strength","Earnings presentations and transcripts"
Primary company,Micron HBM designed into AMD platform,https://investors.micron.com/node/48946/pdf,"What does qualification/design-in language look like?","HBM3E designed into AMD Instinct platform, capacity/bandwidth specs",High,"Single press release; does not prove broad allocation","Track repeated design-in and volume shipment language"
Primary company,SK hynix 12-layer HBM3E mass production,https://news.skhynix.com/sk-hynix-begins-volume-production-of-the-world-first-12-layer-hbm3e/,"What technical and production milestones define HBM supply?","Mass production timing, 12-layer stack, capacity, customer supply timing",High,"Company newsroom; leadership framing","Cross-check with customer platform announcements"
Primary company,SK hynix CES 2026 AI memory,https://news.skhynix.com/sk-hynix-showcases-next-generation-ai-memory-innovations-at-ces-2026/,"What is the next product roadmap?","HBM4, stack height, AI memory portfolio",Medium-high,"Showcase material, not necessarily shipment volume","Use as roadmap signal, not capacity proof"
Primary company,Samsung Q4 FY2025 results,https://news.samsung.com/global/samsung-electronics-announces-fourth-quarter-and-fy-2025-results,"How is Samsung positioning HBM recovery/competition?","HBM sales commentary, HBM4 shipment plans, memory business outlook",High,"Newsroom summary; may omit qualification details","Use Samsung IR presentations for detail"
Primary company,Samsung IR,https://www.samsung.com/global/ir/,"What does Samsung disclose in presentations?","Quarterly memory business commentary, HBM roadmap, capex language",High,"Segment-level disclosure; exact HBM numbers limited","Quarterly earnings presentation"
Primary company,TSMC investor relations,https://investor.tsmc.com/english,"Is advanced packaging a binding constraint?","CoWoS/advanced packaging capacity, AI demand, capex comments",High,"TSMC does not disclose customer-level capacity allocation","Earnings call transcripts and annual reports"
Primary company,TSMC 2025 annual report,https://investor.tsmc.com/sites/ir/annual-report/2025/2025%20Annual%20Report_E.pdf,"What does TSMC say about advanced packaging roadmap?","CoWoS and advanced packaging investment/product comments",High,"Annual report is broad and backward-looking","Pair with quarterly transcripts"
Hyperscaler,Meta Q4 FY2025 results,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-Fourth-Quarter-and-Full-Year-2025-Results/,"How strong is AI infrastructure demand?","2026 capex guidance and AI infrastructure language",High,"Capex includes buildings, servers, networking, leases, not only GPUs","Track capex guidance revisions over time"
Hyperscaler,Microsoft investor relations,https://www.microsoft.com/en-us/Investor/earnings,"How is cloud AI demand translating into capex?","Capital expenditures, cloud/AI capacity constraints, Azure AI language",High,"Capex categories may not isolate AI infrastructure","Quarterly filings and earnings call transcript"
Hyperscaler,Alphabet investor relations,https://abc.xyz/investor/,"How is Google scaling AI infrastructure?","Capex, technical infrastructure spend, TPU/data center language",High,"Does not map cleanly to HBM because of TPU/custom ASIC mix","Track technical infrastructure capex and AI commentary"
Hyperscaler,Amazon investor relations,https://ir.aboutamazon.com/quarterly-results/default.aspx,"How is AWS infrastructure demand evolving?","Capex, AWS growth, AI infrastructure investment language",High,"Capex includes fulfillment/logistics as well as AWS","Use AWS commentary and PP&E additions"
Industry research,TrendForce AI/HBM/server research category,https://www.trendforce.com/research/category/Semiconductors/AI%20Server_HBM_Server,"What directional public market signals exist?","AI server shipment estimates, HBM/CoWoS tightness language",Medium,"Detailed data likely paid/proprietary; public posts are summaries","Use public press releases only and mark estimates as third-party"
Industry research,TrendForce AI server shipment press release,https://www.trendforce.com/presscenter/news/20260120-12887.html,"How fast are AI server shipments expected to grow?","AI server shipment growth and ASIC/GPU mix comments",Medium,"Forecast methodology not fully public","Use as directional estimate, not exact model input"
Industry research,SEMI,https://www.semi.org/en,"What equipment/capacity signals support supply expansion?","Fab equipment billings, advanced packaging events, capacity expansion context",Medium-high,"Often industry-wide, not HBM-specific","Use equipment/capex trend as broad capacity proxy"
Industry research,S&P Global Market Intelligence public research,https://www.spglobal.com/market-intelligence/,"How are analysts framing big tech capex?","Aggregate capex commentary and investor concerns",Medium,"Some data paid; summary may be high level","Use public summaries and company filings"
Technical background,JEDEC HBM standard overview,https://www.jedec.org/standards-documents/focus/graphics/hbm3,"What is HBM technically?","HBM generation definitions and architecture basics",High,"Standards pages explain architecture, not market supply","Use for definitions only"
Technical background,AMD ROCm MI300 architecture docs,https://rocmdocs.amd.com/en/develop/conceptual/gpu-arch/mi300.html,"How are accelerators architected around HBM?","HBM stacks, chiplets, architecture description",High,"AMD-specific; technical depth may exceed memo needs","Use only for concise technical explanation"
Technical background,TSMC 3DFabric official page,https://3dfabric.tsmc.com/english/dedicatedFoundry/technology/3DFabric.htm,"What is advanced packaging and how does CoWoS fit into TSMC's 3DFabric family?","Definition of 3DFabric, CoWoS, InFO, and SoIC; system integration rationale",High,"Definition source, not capacity disclosure","Use for taxonomy and packaging explanation"
Technical background,TSMC CoWoS official page,https://3dfabric.tsmc.com/english/dedicatedFoundry/technology/cowos.htm,"What is CoWoS and why is it relevant to HPC/AI packaging?","CoWoS positioning for high-performance computing and HBM-related integration",High,"Definition source, not tightness/capacity disclosure","Use with TSMC earnings comments for bottleneck analysis"
Market signal,Microsoft AI infrastructure and Physical AI official blog,https://blogs.microsoft.com/blog/2026/03/16/microsoft-at-nvidia-gtc-new-solutions-for-microsoft-foundry-azure-ai-infrastructure-and-physical-ai/,"How do hyperscalers describe AI datacenter deployment requirements?","Power, cooling, networking, liquid cooling, and rapid generational upgrades",Medium-high,"Company blog; directional and promotional","Use as deployment requirement signal, not quantitative capacity data"
Market signal,Microsoft Community-First AI Infrastructure official blog,https://blogs.microsoft.com/on-the-issues/2026/01/13/community-first-ai-infrastructure/,"Why should power/cooling/water infrastructure be tracked as a downstream constraint?","Cooling requirements for AI GPUs and utility/water infrastructure coordination",Medium-high,"Policy framing; not a market-wide constraint estimate","Use as future tracking signal"
Market signal,Company job postings and facility announcements,,"Are firms expanding capacity or technical teams?","HBM engineering roles, packaging roles, facility expansion timing",Low-medium,"Noisy; postings do not equal capacity","Use as weak corroborating signal only"
