category,source,link,question_helped,specific_signal_to_extract,reliability,limitation_or_bias,public_proxy_if_paid
Global demand,IEA Electricity 2026 executive summary,https://www.iea.org/reports/electricity-2026/executive-summary,"How fast is global electricity demand expected to grow?","Global electricity demand growth forecast; drivers such as industry, EVs, air conditioning, data centers",High,"Global aggregate; not Taiwan-specific","Use as global context"
Global demand,IEA Electricity 2026 demand chapter,https://www.iea.org/reports/electricity-2026/demand,"Which sectors drive electricity demand growth?","AI, data centers, advanced manufacturing, electrification drivers",High,"Forecast assumptions may change","Use as public baseline"
Global demand,IEA Electricity Mid-Year Update 2025 demand chapter,https://www.iea.org/reports/electricity-mid-year-update-2025/demand-global-electricity-use-to-grow-strongly-in-2025-and-2026%C2%A0%C2%A0,"How much are data centers contributing to electricity demand growth?","2025/2026 global electricity demand growth; data center electricity demand comments",High,"Global and regional estimates; not directly Taiwan","Use for AI/data center demand context"
Global comparison,Our World in Data Taiwan energy profile,https://ourworldindata.org/profile/energy/taiwan,"How does Taiwan compare on electricity use and generation?","Electricity generation, electricity demand, per-capita comparison, energy mix",Medium-high,"OWID harmonizes third-party data; update frequency may lag official Taiwan data","Use for global comparison charts"
Taiwan official,MOEA news on 2025 generation actuals,https://www.moea.gov.tw/MNS/Populace/news/News.aspx?kind=1&menu_id=40&news_id=122430,"How much did Taiwan's actual 2025 generation exceed prior estimates?","2025 generation actual 288.9 TWh; prior estimate 257.5 TWh; difference 31.4 TWh",High,"News framing; should pair with official statistics handbook","Use as recent official signal"
Taiwan official,MOEA/Taipower 2026 supply stability statement,https://www.moea.gov.tw/MNS/POPULACE/news/News.aspx?kind=1&menu_id=40&news_id=122193,"What does Taiwan expect for 2026 peak and night peak?","2026 peak load 42.94 GW; night peak 38.53 GW; 5.2 GW new capacity; day reserve >10%; night reserve >7%",High,"Official reassurance framing; needs independent stress scenario","Use as official baseline"
Taiwan official,Taipower daily reserve margin page,https://www.taipower.com.tw/d006/loadGraph/loadGraph/load_reserveT_.html,"What is the daily operating reserve situation?","Daily estimated peak reserve capacity and reserve margin definition",High,"Dynamic page; must snapshot date when used","Use for daily monitoring"
Taiwan official,Taipower reserve capacity explanation,https://hc1.taipower.com.tw/2289/2363/2367/2372/10316/normalPost,"How is planning reserve margin defined?","Definition of planning reserve margin and net peaking capability",High,"Methodological; not a forecast alone","Use for definitions"
Taiwan official,Taipower ESG supply stability page,https://service.taipower.com.tw/csr/esg/sustainable/quality-electricity-service,"How does Taipower describe supply stability measures?","Peak reserve above 8%, grid resilience, demand response, time-of-use pricing",Medium-high,"ESG framing; may emphasize positive performance","Use as company signal"
Taiwan context,Energy information platform electricity mix,https://energy.moenv.gov.tw/energy/electricity-generation-mix/2408.html,"What is Taiwan's generation mix and energy transition context?","Generation mix, renewable deployment, LNG receiving capacity, nuclear status",Medium-high,"Government-facing explanatory platform; verify with MOEA statistics","Use for background"
Taiwan context,Taiwan renewable energy statistics,https://www.re.org.tw/information/statistics.aspx,"How quickly are renewables expanding?","Renewable generation and installed capacity monthly statistics",High,"Renewables are intermittent; capacity is not firm night capacity","Use for renewable trend"
Taiwan context,EIA Taiwan country analysis,https://www.eia.gov/international/analysis/country/twn,"What are Taiwan's fuel import and energy security risks?","Coal, LNG, nuclear phase-out, import dependency",Medium-high,"Uses third-party and lagged official data","Use for fuel resilience framing"
Industry demand,Semiconductor/AI incremental load estimates,,"How much new load could fabs and AI data centers add by 2030?","Incremental GW from fabs, science parks, data centers",Low-medium,"Often media/industry estimates; may not be public official data","Mark as scenario input, not fact"

