evidence_id,source,date,org,claim_or_signal,memo_section,evidence_strength,limitation,link,status
P01,"IEA Electricity 2026 executive summary","2026","IEA","IEA forecasts global electricity demand to grow at an average annual rate of 3.6% during 2026-2030, supported by industry, electric vehicles, air conditioning, and data centers.","Global Context","High","Global aggregate; not Taiwan-specific.","https://www.iea.org/reports/electricity-2026/executive-summary","verified_public"
P02,"IEA Electricity 2026 executive summary - grids and flexibility","2026","IEA","IEA states that grids and flexibility are moving to the forefront of power-system planning and that large queues of renewables, storage, and large-load projects such as data centers remain stalled in grid-connection queues worldwide.","Global Context; Grid Risk","High","Global aggregate; local Taiwan grid constraints require Taiwan-specific data.","https://www.iea.org/reports/electricity-2026/executive-summary","verified_public"
P03,"CWA 2024 Taiwan climate analysis PDF","2025","CWA","CWA reports Taiwan's 2024 annual mean temperature as 24.6 C, 0.7 C above the 1991-2020 climate normal, ranking first in the record used in the report.","Temperature Baseline","High","Annual national average; not sufficient for local heat or load analysis.","https://www.cwa.gov.tw/Data/climate/Watch/twn/twn-monitor_2024-0.pdf","verified_public"
P04,"CWA high-temperature information page","2026 accessed","CWA","CWA defines high-temperature warning levels using thresholds such as 36 C and 38 C and duration conditions.","Temperature Signals","High","Operational warning page; dynamic and should be snapshotted for live event analysis.","https://www.cwa.gov.tw/V8/C/P/Warning/W29.html","verified_public"
P05,"National Climate Change Scientific Report 2024 chapter PDF","2024","National Environmental Research Academy","The report uses extreme temperature indicators such as daily maximum temperature, daily minimum temperature, warm days, warm nights, and heat-wave duration to evaluate climate change impacts.","Temperature Indicators","High","Technical indicator source; not itself an electricity-demand estimate.","https://www.nera.gov.tw/upload/cmNormalFile/2024-08-28/589f6935-f10f-4169-8655-c33755d2d6a2/%E7%AC%AC2%E7%AB%A0.pdf","verified_public"
P06,"Climate Change Administration heat adaptation page","2026 accessed","Climate Change Administration","Taiwan's heat adaptation page summarizes future heat-risk concerns, including longer summer conditions and more high-temperature days under warming scenarios, citing the National Climate Change Scientific Report 2024.","Temperature Risk","Medium-high","Policy summary; use underlying scientific report for final quantitative claims.","https://www.cca.gov.tw/affairs/adaptation-and-resilience/heat-resilience/25354.html","verified_public"
P07,"MOEA/Taipower 2026 supply stability statement","2026-03-24","MOEA/Taipower","MOEA/Taipower stated that Taiwan's 2026 peak load was expected at 42.94 GW and night peak at 38.53 GW, with planned renewable additions and four new units totaling 5.2 GW, targeting day peak reserve above 10% and night peak reserve above 7%.","Taiwan Power Adequacy","High","Official baseline and reassurance framing; should be stress-tested under heat and demand scenarios.","https://www.moea.gov.tw/MNS/POPULACE/news/News.aspx?kind=1&menu_id=40&news_id=122193","verified_public"
P08,"Taipower daily reserve margin page","2026 accessed","Taipower","Taipower defines operating reserve as net peak supply capability minus instantaneous peak load, and percent operating reserve as a daily reliability metric.","Operating Reserve","High","Dynamic page; actual daily values require timestamped capture.","https://www.taipower.com.tw/d006/loadGraph/loadGraph/load_reserveT_.html","verified_public"
P09,"Taipower journal article on power-supply transition","2026 accessed","Taipower","Taipower public materials describe Taiwan's supply stability challenge as shifting from past day peaks toward night peaks as daytime solar helps but evening dispatch becomes more important.","Night Peak","Medium-high","Company publication; qualitative and should be paired with load data.","https://service.taipower.com.tw/tpcjournal/article/7235","verified_public"
P10,"Taipower magazine PDF on HVAC demand response","2026 accessed","Taipower","A Taipower magazine article states that Taiwan's summer peak load is strongly affected by air conditioning and reports an approximate 600 MW load increase for a 1 C rise around early afternoon.","Temperature-To-Load Link","Medium","Useful directional coefficient, but underlying model should be verified before precise use.","https://www.taipower.com.tw/media/f1oehghv/819%E6%9C%9F11%E6%9C%88%E8%99%9F-%E5%85%A8%E6%96%87%E8%A8%82%E9%96%B1%E7%89%88.pdf?mediaDL=true","verified_public"
P11,"MOEA Energy Administration renewable target review","2026-04-17","MOEA Energy Administration","MOEA stated that 2025 actual generation reached 288.9 TWh versus an earlier 257.5 TWh estimate, a difference of 31.4 TWh, and linked higher demand context to semiconductor and electronics-led growth.","Demand Forecast Risk","High","News framing; use as evidence that baselines can move, not as a precise sectoral allocation.","https://www.moea.gov.tw/MNS/Populace/news/News.aspx?kind=1&menu_id=40&news_id=122430","verified_public"
P12,"MOEA Energy Administration renewable deployment update","2026-04-17","MOEA Energy Administration","MOEA stated that offshore wind capacity exceeded 4.5 GW by the end of March 2026 and solar PV cumulative installed capacity reached 15.68 GW, while emphasizing green-power demand from companies.","Clean Power; Supply Relief","High","Installed capacity does not equal firm night capacity; generation and storage data are still needed.","https://www.moea.gov.tw/MNS/Populace/news/News.aspx?kind=1&menu_id=40&news_id=122430","verified_public"
P13,"Taipower daily reserve margin page","2026 accessed","Taipower","Taipower notes that operating reserve and planning reserve are different concepts and points users to a separate planning reserve explanation.","Definitions","High","Definitions only; does not forecast future adequacy.","https://www.taipower.com.tw/d006/loadGraph/loadGraph/load_reserveT_.html","verified_public"
P14,"CWA station statistics and climate normal materials","2026 accessed","CWA","CWA station statistics and climate materials use the 1991-2020 climate normal and support station-level extreme-temperature tracking.","Methods","High","Requires data extraction for quantitative station analysis.","https://climate.cwa.gov.tw/MeasuringObservation","verified_public"
P15,"Temperature-electricity STR model paper","2018","Academic","A Taiwan-focused study models a nonlinear relationship between temperature and electricity consumption, emphasizing cooling demand and degree-day concepts.","Methods; Future Modeling","Medium","Academic assumptions and data vintage should be reviewed before use in a final model.","https://www.scirp.org/journal/doi.aspx?DOI=10.4236%2Fme.2018.94038","verified_public"
