category,source,link,question_helped,specific_signal_to_extract,reliability,limitation_or_bias,public_proxy_if_paid
Taiwan climate,Central Weather Administration climate service portal,https://climate.cwa.gov.tw/,"What climate data and climate services are available for Taiwan?","Temperature observations, climate normals, high-temperature indicators",High,"Portal data may require manual extraction","Use CWA monthly/annual climate summaries"
Taiwan climate,CWA 2024 Taiwan climate analysis PDF,https://www.cwa.gov.tw/Data/climate/Watch/twn/twn-monitor_2024-0.pdf,"What was Taiwan's recent temperature baseline?","2024 average temperature and temperature ranking",High,"Annual report; not a projection","Use as official baseline"
Taiwan climate,CWA station statistics page,https://climate.cwa.gov.tw/MeasuringObservation,"How should Taiwan station data and extreme indicators be interpreted?","Station climate statistics; ETCCDI extreme temperature indicators",High,"Requires careful station selection","Use for methodology"
Taiwan heat,CWA high-temperature information page,https://www.cwa.gov.tw/V8/C/P/Warning/W29.html,"How does Taiwan define high-temperature warning levels?","Yellow/orange/red high-temperature alert thresholds",High,"Operational alert page; dynamic content","Snapshot date when used"
Taiwan heat,Climate Change Administration heat adaptation page,https://www.cca.gov.tw/affairs/adaptation-and-resilience/heat-resilience/25354.html,"What are Taiwan's heat adaptation concerns?","Future summer length, days above 36°C, heat injury and vulnerable groups",High,"Policy/adaptation framing; cite original scientific report when using projections","Use as public summary of climate adaptation risk"
Taiwan climate science,National Climate Change Scientific Report 2024 abstract,https://tccip.ncdr.nat.gov.tw/ScientificReport2024/dl_abstract.aspx,"What does Taiwan's national climate science report say about temperature trends?","High-temperature days increasing, low-temperature days decreasing, station trends",High,"Summary page; use full report for detailed figures","Use as national scientific framing"
Taiwan climate science,National Climate Change Scientific Report 2024 chapter PDF,https://www.nera.gov.tw/upload/cmNormalFile/2024-08-28/589f6935-f10f-4169-8655-c33755d2d6a2/%E7%AC%AC2%E7%AB%A0.pdf,"Which extreme temperature indicators are used?","TXx, TNx, warm nights, warm days, heat wave duration index",High,"Technical report; requires careful interpretation","Use for indicator definitions"
Electricity link,Taipower/MOEA 2026 supply stability statement,https://www.moea.gov.tw/MNS/POPULACE/news/News.aspx?kind=1&menu_id=40&news_id=122193,"How does Taiwan frame 2026 peak and night-peak adequacy?","Peak load, night peak, reserve margin, new capacity",High,"Official reassurance framing","Use as baseline, not independent stress test"
Electricity link,Taipower daily reserve margin page,https://www.taipower.com.tw/d006/loadGraph/loadGraph/load_reserveT_.html,"How can daily power stress be monitored?","Daily peak load and operating reserve margin",High,"Dynamic data; must snapshot","Use for dashboard signal"
Temperature-load link,Taipower monthly article on power supply transition,https://service.taipower.com.tw/tpcjournal/article/7235,"Why has Taiwan's dispatch challenge shifted toward night peak?","Day peak vs night peak; solar output and evening challenge",Medium-high,"Company publication; qualitative","Use as dispatch context"
Temperature-load link,Taipower magazine PDF on HVAC demand response,https://www.taipower.com.tw/media/f1oehghv/819%E6%9C%9F11%E6%9C%88%E8%99%9F-%E5%85%A8%E6%96%87%E8%A8%82%E9%96%B1%E7%89%88.pdf?mediaDL=true,"How sensitive is system load to temperature and air conditioning?","Air-conditioning share of summer peak load; load increase per 1°C in afternoon",Medium-high,"Magazine article; should verify underlying study if used quantitatively","Use as directional Taiwan-specific link"
Academic,Temperature and electricity demand in Taiwan STR model,https://www.scirp.org/journal/doi.aspx?DOI=10.4236%2Fme.2018.94038,"How has literature modeled Taiwan's nonlinear temperature-electricity relationship?","Nonlinear temperature-electricity relationship; cooling degree day logic",Medium,"Journal quality varies; use cautiously","Use as supporting literature, not primary source"
Global climate,WMO State of the Global Climate 2024 summary,https://wmo.int/publication-series/state-of-global-climate-2024,"What is the global warming context?","2024 global temperature record and 1.5°C context",High,"Global, not Taiwan-specific","Use only for global context"
Global electricity,IEA Electricity 2026 executive summary,https://www.iea.org/reports/electricity-2026/executive-summary,"How do data centers, cooling, and electrification affect electricity demand?","Global electricity demand growth drivers",High,"Global aggregate; not local load sensitivity","Use for global energy context"

